##QueryTarget=ABCG2
##QueryTargetLocation=4:89011416-89080011(-)
#Chromosome Position TotalSamplesCovered AvgSampleReadDepth TotalEAsamplesCovered AvgEAsampleReadDepth  TotalAAsamplesCovered AvgAAsampleReadDepth
4 89013411 5379 58.0 3510 60.0 1869 54.0
4 89013412 5379 60.0 3510 62.0 1869 55.0
4 89013413 5379 60.0 3510 62.0 1869 56.0
4 89013414 5379 61.0 3510 63.0 1869 57.0
4 89013415 5379 61.0 3510 63.0 1869 57.0
4 89013416 5379 62.0 3510 65.0 1869 59.0
4 89013417 5379 66.0 3510 68.0 1869 62.0
4 89013418 5379 67.0 3510 70.0 1869 63.0
4 89013419 5379 70.0 3510 72.0 1869 66.0
4 89013420 5379 72.0 3510 74.0 1869 68.0
4 89013421 5379 75.0 3510 77.0 1869 71.0
4 89013422 5379 76.0 3510 78.0 1869 72.0
4 89013423 5379 77.0 3510 79.0 1869 73.0
4 89013424 5379 78.0 3510 81.0 1869 74.0
4 89013425 5379 80.0 3510 83.0 1869 76.0
4 89013426 5379 82.0 3510 84.0 1869 77.0
4 89013427 5379 82.0 3510 84.0 1869 78.0
4 89013428 5379 82.0 3510 85.0 1869 78.0
4 89013429 5379 84.0 3510 86.0 1869 80.0
4 89013430 5379 85.0 3510 87.0 1869 80.0
4 89013431 5379 86.0 3510 88.0 1869 82.0
4 89013432 5379 87.0 3510 89.0 1869 83.0
4 89013433 5379 88.0 3510 90.0 1869 84.0
4 89013434 5379 89.0 3510 91.0 1869 84.0
4 89013435 5379 89.0 3510 92.0 1869 85.0
4 89013436 5379 90.0 3510 93.0 1869 86.0
4 89013437 5379 91.0 3510 93.0 1869 87.0
4 89013438 5379 92.0 3510 94.0 1869 88.0
4 89013439 5379 92.0 3510 94.0 1869 88.0
4 89013440 5379 92.0 3510 94.0 1869 88.0
4 89013441 5379 93.0 3510 95.0 1869 89.0
4 89013442 5379 93.0 3510 95.0 1869 90.0
4 89013443 5379 95.0 3510 97.0 1869 91.0
4 89013444 5379 95.0 3510 97.0 1869 92.0
4 89013445 5379 96.0 3510 98.0 1869 92.0
4 89013446 5379 97.0 3510 99.0 1869 93.0
4 89013447 5379 99.0 3510 101.0 1869 95.0
4 89013448 5379 100.0 3510 102.0 1869 96.0
4 89013449 5379 101.0 3510 103.0 1869 98.0
4 89013450 5379 104.0 3510 106.0 1869 101.0
4 89013451 5379 106.0 3510 108.0 1869 103.0
4 89013452 5379 107.0 3510 108.0 1869 104.0
4 89013453 5379 108.0 3510 109.0 1869 105.0
4 89013454 5379 108.0 3510 110.0 1869 106.0
4 89013455 5379 110.0 3510 111.0 1869 107.0
4 89013456 5379 111.0 3510 112.0 1869 109.0
4 89013457 5379 112.0 3510 113.0 1869 110.0
4 89013458 5379 113.0 3510 115.0 1869 111.0
4 89013459 5379 115.0 3510 116.0 1869 113.0
4 89013460 5379 116.0 3510 117.0 1869 115.0
4 89013461 5379 117.0 3510 118.0 1869 115.0
4 89013462 5379 118.0 3510 119.0 1869 116.0
4 89013463 5379 119.0 3510 119.0 1869 117.0
4 89013464 5379 120.0 3510 121.0 1869 118.0
4 89013465 5379 121.0 3510 122.0 1869 119.0
4 89013466 5379 122.0 3510 122.0 1869 120.0
4 89013467 5379 121.0 3510 122.0 1869 120.0
4 89013468 5379 121.0 3510 121.0 1869 120.0
4 89013469 5379 121.0 3510 121.0 1869 120.0
4 89013470 5379 121.0 3510 121.0 1869 120.0
4 89013471 5379 121.0 3510 121.0 1869 120.0
4 89013472 5379 121.0 3510 122.0 1869 121.0
4 89013473 5379 122.0 3510 122.0 1869 121.0
4 89013474 5379 123.0 3510 123.0 1869 122.0
4 89013475 5379 122.0 3510 122.0 1869 122.0
4 89013476 5379 122.0 3510 122.0 1869 122.0
4 89013477 5379 123.0 3510 123.0 1869 123.0
4 89013478 5379 123.0 3510 123.0 1869 123.0
4 89013479 5379 122.0 3510 122.0 1869 123.0
4 89013480 5379 122.0 3510 122.0 1869 123.0
4 89013481 5379 122.0 3510 122.0 1869 122.0
4 89013482 5379 122.0 3510 122.0 1869 123.0
4 89013483 5379 122.0 3510 122.0 1869 123.0
4 89013484 5379 123.0 3510 122.0 1869 123.0
4 89013485 5379 124.0 3510 123.0 1869 124.0
4 89013486 5379 125.0 3510 125.0 1869 126.0
4 89013487 5379 125.0 3510 125.0 1869 126.0
4 89013488 5379 125.0 3510 125.0 1869 125.0
4 89013489 5379 126.0 3510 125.0 1869 126.0
4 89013490 5379 126.0 3510 126.0 1869 126.0
4 89013491 5379 127.0 3510 127.0 1869 127.0
4 89013492 5379 128.0 3510 128.0 1869 128.0
4 89013493 5379 127.0 3510 127.0 1869 127.0
4 89013494 5379 127.0 3510 127.0 1869 127.0
4 89013495 5379 126.0 3510 126.0 1869 126.0
4 89013496 5379 127.0 3510 127.0 1869 127.0
4 89013497 5379 125.0 3510 125.0 1869 125.0
4 89013498 5379 126.0 3510 126.0 1869 126.0
4 89013499 5379 125.0 3510 125.0 1869 125.0
4 89013500 5379 125.0 3510 125.0 1869 125.0
4 89013501 5379 124.0 3510 124.0 1869 125.0
4 89013502 5379 125.0 3510 124.0 1869 125.0
4 89013503 5379 124.0 3510 124.0 1869 124.0
4 89013504 5379 124.0 3510 124.0 1869 124.0
4 89013505 5379 122.0 3510 122.0 1869 122.0
4 89013506 5379 121.0 3510 121.0 1869 122.0
4 89013507 5379 121.0 3510 120.0 1869 121.0
4 89013508 5379 120.0 3510 119.0 1869 120.0
4 89013509 5379 119.0 3510 119.0 1869 120.0
4 89013510 5379 119.0 3510 119.0 1869 120.0
4 89013511 5379 119.0 3510 119.0 1869 119.0
4 89013512 5379 118.0 3510 118.0 1869 119.0
4 89013513 5379 118.0 3510 118.0 1869 119.0
4 89013514 5379 117.0 3510 117.0 1869 118.0
4 89013515 5379 118.0 3510 118.0 1869 118.0
4 89013516 5379 117.0 3510 117.0 1869 118.0
4 89013517 5379 117.0 3510 116.0 1869 117.0
4 89013518 5379 117.0 3510 117.0 1869 117.0
4 89013519 5379 117.0 3510 117.0 1869 117.0
4 89013520 5379 117.0 3510 116.0 1869 117.0
4 89013521 5379 116.0 3510 116.0 1869 116.0
4 89013522 5379 115.0 3510 115.0 1869 115.0
4 89013523 5379 115.0 3510 115.0 1869 115.0
4 89013524 5379 113.0 3510 114.0 1869 113.0
4 89013525 5379 113.0 3510 113.0 1869 113.0
4 89013526 5379 113.0 3510 113.0 1869 112.0
4 89013527 5379 112.0 3510 112.0 1869 111.0
4 89013528 5379 112.0 3510 112.0 1869 111.0
4 89013529 5379 111.0 3510 112.0 1869 111.0
4 89013530 5379 110.0 3510 110.0 1869 109.0
4 89013531 5378 109.0 3510 110.0 1868 109.0
4 89013532 5378 107.0 3510 107.0 1868 106.0
4 89013533 5378 106.0 3510 106.0 1868 105.0
4 89013534 5378 104.0 3510 104.0 1868 103.0
4 89013535 5378 102.0 3510 103.0 1868 102.0
4 89013536 5378 100.0 3510 100.0 1868 99.0
4 89013537 5378 99.0 3510 99.0 1868 98.0
4 89013538 5378 97.0 3510 98.0 1868 96.0
4 89013539 5378 96.0 3510 97.0 1868 95.0
4 89013540 5378 95.0 3510 95.0 1868 94.0
4 89013541 5378 93.0 3510 93.0 1868 92.0
4 89013542 5378 91.0 3510 92.0 1868 90.0
4 89013543 5378 90.0 3510 91.0 1868 89.0
4 89013544 5378 90.0 3510 90.0 1868 88.0
4 89013545 5378 90.0 3510 90.0 1868 88.0
4 89013546 5378 88.0 3510 88.0 1868 86.0
4 89013547 5378 87.0 3510 87.0 1868 85.0
4 89013548 5378 86.0 3510 86.0 1868 84.0
4 89013549 5378 85.0 3510 86.0 1868 83.0
4 89013550 5378 84.0 3510 85.0 1868 82.0
4 89013551 5378 84.0 3510 85.0 1868 82.0
4 89013552 5378 83.0 3510 84.0 1868 81.0
4 89013553 5378 82.0 3510 83.0 1868 80.0
4 89013554 5378 82.0 3510 83.0 1868 80.0
4 89013555 5378 81.0 3510 82.0 1868 79.0
4 89013556 5378 81.0 3510 82.0 1868 79.0
4 89013557 5378 79.0 3510 81.0 1868 77.0
4 89013558 5378 79.0 3510 80.0 1868 77.0
4 89013559 5378 77.0 3510 79.0 1868 75.0
4 89013560 5378 77.0 3510 78.0 1868 74.0
4 89013561 5378 76.0 3510 77.0 1868 73.0
4 89013562 5378 74.0 3510 75.0 1868 72.0
4 89013563 5378 73.0 3510 74.0 1868 71.0
4 89013564 5378 72.0 3510 73.0 1868 70.0
4 89013565 5379 70.0 3510 71.0 1869 68.0
4 89013566 5379 69.0 3510 71.0 1869 67.0
4 89013567 5379 68.0 3510 69.0 1869 66.0
4 89013568 5379 67.0 3510 68.0 1869 65.0
4 89013569 5379 65.0 3510 66.0 1869 63.0
4 89013570 5379 64.0 3510 65.0 1869 62.0
4 89013571 5379 63.0 3510 64.0 1869 61.0
4 89013572 5379 62.0 3510 63.0 1869 60.0
4 89013573 5379 60.0 3510 61.0 1869 58.0
4 89013574 5379 58.0 3510 59.0 1869 56.0
4 89013575 5379 58.0 3510 59.0 1869 56.0
4 89013576 5379 56.0 3510 57.0 1869 54.0
4 89013577 5379 55.0 3510 56.0 1869 53.0
4 89013578 5379 51.0 3510 52.0 1869 50.0
4 89013579 5379 51.0 3510 52.0 1869 49.0
4 89013580 5379 50.0 3510 51.0 1869 48.0
4 89013581 5379 49.0 3510 50.0 1869 48.0
4 89013582 5379 48.0 3510 49.0 1869 47.0
4 89013583 5379 48.0 3510 49.0 1869 46.0
4 89013584 5379 47.0 3510 48.0 1869 46.0
4 89013585 3086 35.0 2053 36.0 1033 31.0
4 89015669 1617 57.0 1266 55.0 351 64.0
4 89015670 1617 58.0 1266 56.0 351 65.0
4 89015671 1617 58.0 1266 55.0 351 65.0
4 89015672 1617 58.0 1266 56.0 351 66.0
4 89015673 1617 59.0 1266 57.0 351 67.0
4 89015674 1617 61.0 1266 59.0 351 69.0
4 89015675 1617 60.0 1266 58.0 351 68.0
4 89015676 1617 62.0 1266 60.0 351 70.0
4 89015677 3910 47.0 2723 47.0 1187 46.0
4 89015678 5379 67.0 3510 64.0 1869 72.0
4 89015679 5379 67.0 3510 64.0 1869 73.0
4 89015680 5379 68.0 3510 65.0 1869 74.0
4 89015681 5379 70.0 3510 66.0 1869 76.0
4 89015682 5379 70.0 3510 67.0 1869 77.0
4 89015683 5379 72.0 3510 69.0 1869 78.0
4 89015684 5379 73.0 3510 69.0 1869 79.0
4 89015685 5379 74.0 3510 70.0 1869 81.0
4 89015686 5379 76.0 3510 73.0 1869 83.0
4 89015687 5379 77.0 3510 73.0 1869 84.0
4 89015688 5379 78.0 3510 74.0 1869 85.0
4 89015689 5379 80.0 3510 76.0 1869 88.0
4 89015690 5379 80.0 3510 76.0 1869 88.0
4 89015691 5379 82.0 3510 77.0 1869 89.0
4 89015692 5379 84.0 3510 80.0 1869 92.0
4 89015693 5379 85.0 3510 81.0 1869 94.0
4 89015694 5379 87.0 3510 82.0 1869 96.0
4 89015695 5379 88.0 3510 83.0 1869 97.0
4 89015696 5379 89.0 3510 84.0 1869 99.0
4 89015697 5379 90.0 3510 85.0 1869 100.0
4 89015698 5379 91.0 3510 86.0 1869 101.0
4 89015699 5379 93.0 3510 88.0 1869 103.0
4 89015700 5379 94.0 3510 89.0 1869 104.0
4 89015701 5379 95.0 3510 90.0 1869 105.0
4 89015702 5379 96.0 3510 90.0 1869 106.0
4 89015703 5379 97.0 3510 91.0 1869 107.0
4 89015704 5379 99.0 3510 93.0 1869 109.0
4 89015705 5379 100.0 3510 94.0 1869 110.0
4 89015706 5379 100.0 3510 95.0 1869 111.0
4 89015707 5379 102.0 3510 96.0 1869 112.0
4 89015708 5379 104.0 3510 98.0 1869 114.0
4 89015709 5379 105.0 3510 100.0 1869 116.0
4 89015710 5379 107.0 3510 101.0 1869 118.0
4 89015711 5379 109.0 3510 103.0 1869 120.0
4 89015712 5379 111.0 3510 105.0 1869 122.0
4 89015713 5379 112.0 3510 106.0 1869 124.0
4 89015714 5379 113.0 3510 107.0 1869 124.0
4 89015715 5379 113.0 3510 107.0 1869 125.0
4 89015716 5379 114.0 3510 108.0 1869 125.0
4 89015717 5379 114.0 3510 108.0 1869 126.0
4 89015718 5379 114.0 3510 108.0 1869 126.0
4 89015719 5379 116.0 3510 110.0 1869 128.0
4 89015720 5379 117.0 3510 111.0 1869 128.0
4 89015721 5379 119.0 3510 113.0 1869 131.0
4 89015722 5379 120.0 3510 114.0 1869 132.0
4 89015723 5379 122.0 3510 115.0 1869 133.0
4 89015724 5379 122.0 3510 116.0 1869 134.0
4 89015725 5379 123.0 3510 117.0 1869 135.0
4 89015726 5379 124.0 3510 118.0 1869 136.0
4 89015727 5379 125.0 3510 118.0 1869 137.0
4 89015728 5379 125.0 3510 119.0 1869 137.0
4 89015729 5379 128.0 3510 122.0 1869 140.0
4 89015730 5379 129.0 3510 122.0 1869 140.0
4 89015731 5379 130.0 3510 123.0 1869 142.0
4 89015732 5379 131.0 3510 125.0 1869 143.0
4 89015733 5379 132.0 3510 126.0 1869 144.0
4 89015734 5379 134.0 3510 127.0 1869 145.0
4 89015735 5379 134.0 3510 127.0 1869 145.0
4 89015736 5379 134.0 3510 128.0 1869 146.0
4 89015737 5379 136.0 3510 129.0 1869 147.0
4 89015738 5379 136.0 3510 130.0 1869 148.0
4 89015739 5379 137.0 3510 130.0 1869 148.0
4 89015740 5379 138.0 3510 131.0 1869 150.0
4 89015741 5379 137.0 3510 131.0 1869 149.0
4 89015742 5379 137.0 3510 131.0 1869 149.0
4 89015743 5379 138.0 3510 132.0 1869 149.0
4 89015744 5379 138.0 3510 132.0 1869 150.0
4 89015745 5379 140.0 3510 134.0 1869 151.0
4 89015746 5379 141.0 3510 135.0 1869 152.0
4 89015747 5379 141.0 3510 135.0 1869 153.0
4 89015748 5379 141.0 3510 135.0 1869 153.0
4 89015749 5379 142.0 3510 136.0 1869 153.0
4 89015750 5379 141.0 3510 135.0 1869 152.0
4 89015751 5379 141.0 3510 135.0 1869 152.0
4 89015752 5379 142.0 3510 136.0 1869 153.0
4 89015753 5379 142.0 3510 136.0 1869 153.0
4 89015754 5379 141.0 3510 136.0 1869 152.0
4 89015755 5379 143.0 3510 137.0 1869 153.0
4 89015756 5379 143.0 3510 138.0 1869 153.0
4 89015757 5379 143.0 3510 138.0 1869 154.0
4 89015758 5379 143.0 3510 138.0 1869 153.0
4 89015759 5379 143.0 3510 138.0 1869 153.0
4 89015760 5379 143.0 3510 138.0 1869 153.0
4 89015761 5379 143.0 3510 138.0 1869 153.0
4 89015762 5379 142.0 3510 137.0 1869 152.0
4 89015763 5379 143.0 3510 138.0 1869 152.0
4 89015764 5379 143.0 3510 138.0 1869 152.0
4 89015765 5379 142.0 3510 138.0 1869 150.0
4 89015766 5379 144.0 3510 139.0 1869 152.0
4 89015767 5379 143.0 3510 139.0 1869 151.0
4 89015768 5379 142.0 3510 137.0 1869 149.0
4 89015769 5379 142.0 3510 138.0 1869 149.0
4 89015770 5379 140.0 3510 137.0 1869 147.0
4 89015771 5379 140.0 3510 136.0 1869 146.0
4 89015772 5379 140.0 3510 136.0 1869 146.0
4 89015773 5379 139.0 3510 136.0 1869 145.0
4 89015774 5379 139.0 3510 135.0 1869 145.0
4 89015775 5379 138.0 3510 135.0 1869 144.0
4 89015776 5379 138.0 3510 135.0 1869 144.0
4 89015777 5379 137.0 3510 134.0 1869 143.0
4 89015778 5379 136.0 3510 133.0 1869 142.0
4 89015779 5379 135.0 3510 132.0 1869 141.0
4 89015780 5379 135.0 3510 132.0 1869 140.0
4 89015781 5379 134.0 3510 131.0 1869 139.0
4 89015782 5379 132.0 3510 130.0 1869 138.0
4 89015783 5379 131.0 3510 129.0 1869 136.0
4 89015784 5379 129.0 3510 126.0 1869 134.0
4 89015785 5379 128.0 3510 126.0 1869 133.0
4 89015786 5379 127.0 3510 125.0 1869 132.0
4 89015787 5379 125.0 3510 123.0 1869 130.0
4 89015788 5379 123.0 3510 121.0 1869 127.0
4 89015789 5379 122.0 3510 120.0 1869 126.0
4 89015790 5379 121.0 3510 119.0 1869 125.0
4 89015791 5379 121.0 3510 119.0 1869 125.0
4 89015792 5379 121.0 3510 119.0 1869 124.0
4 89015793 5379 121.0 3510 119.0 1869 124.0
4 89015794 5379 120.0 3510 118.0 1869 124.0
4 89015795 5379 119.0 3510 118.0 1869 123.0
4 89015796 5379 118.0 3510 116.0 1869 121.0
4 89015797 5379 116.0 3510 115.0 1869 120.0
4 89015798 5379 117.0 3510 115.0 1869 120.0
4 89015799 5379 115.0 3510 114.0 1869 118.0
4 89015800 5379 114.0 3510 112.0 1869 116.0
4 89015801 5379 113.0 3510 111.0 1869 116.0
4 89015802 5379 111.0 3510 109.0 1869 113.0
4 89015803 5379 109.0 3510 108.0 1869 112.0
4 89015804 5379 107.0 3510 106.0 1869 110.0
4 89015805 5379 105.0 3510 104.0 1869 107.0
4 89015806 5379 104.0 3510 102.0 1869 106.0
4 89015807 5379 102.0 3510 101.0 1869 104.0
4 89015808 5379 101.0 3510 100.0 1869 103.0
4 89015809 5379 100.0 3510 99.0 1869 102.0
4 89015810 5379 99.0 3510 98.0 1869 101.0
4 89015811 5379 97.0 3510 96.0 1869 99.0
4 89015812 5379 95.0 3510 95.0 1869 97.0
4 89015813 5379 94.0 3510 93.0 1869 95.0
4 89015814 5379 92.0 3510 91.0 1869 93.0
4 89015815 5379 90.0 3510 90.0 1869 92.0
4 89015816 5379 88.0 3510 87.0 1869 89.0
4 89015817 5379 88.0 3510 87.0 1869 89.0
4 89015818 5379 87.0 3510 86.0 1869 88.0
4 89015819 5379 86.0 3510 85.0 1869 87.0
4 89015820 5379 85.0 3510 84.0 1869 86.0
4 89015821 5379 83.0 3510 82.0 1869 84.0
4 89015822 5379 81.0 3510 81.0 1869 82.0
4 89015823 5379 81.0 3510 80.0 1869 82.0
4 89015824 5379 80.0 3510 79.0 1869 80.0
4 89015825 5379 77.0 3510 77.0 1869 78.0
4 89015826 5379 77.0 3510 77.0 1869 78.0
4 89015827 5379 76.0 3510 76.0 1869 77.0
4 89015828 5379 75.0 3510 75.0 1869 76.0
4 89015829 5379 74.0 3510 74.0 1869 74.0
4 89015830 5379 73.0 3510 73.0 1869 74.0
4 89015831 5379 71.0 3510 71.0 1869 72.0
4 89015832 5379 71.0 3510 71.0 1869 71.0
4 89015833 5379 70.0 3510 69.0 1869 70.0
4 89015834 5379 68.0 3510 67.0 1869 68.0
4 89015835 5379 66.0 3510 66.0 1869 67.0
4 89015836 5379 64.0 3510 64.0 1869 64.0
4 89015837 5379 63.0 3510 63.0 1869 63.0
4 89015838 5379 63.0 3510 63.0 1869 63.0
4 89015839 5379 61.0 3510 61.0 1869 61.0
4 89015840 5379 59.0 3510 59.0 1869 59.0
4 89015841 5379 57.0 3510 58.0 1869 57.0
4 89015842 5379 56.0 3510 56.0 1869 56.0
4 89015843 5379 55.0 3510 55.0 1869 55.0
4 89015844 5379 54.0 3510 54.0 1869 54.0
4 89015845 5379 51.0 3510 51.0 1869 51.0
4 89015846 5379 50.0 3510 51.0 1869 50.0
4 89015847 5379 50.0 3510 50.0 1869 49.0
4 89015848 5379 47.0 3510 47.0 1869 47.0
4 89015849 5379 46.0 3510 46.0 1869 45.0
4 89015850 5379 44.0 3510 44.0 1869 44.0
4 89015851 5379 43.0 3510 43.0 1869 43.0
4 89015852 5379 42.0 3510 42.0 1869 42.0
4 89015853 5379 42.0 3510 42.0 1869 41.0
4 89015854 5379 41.0 3510 42.0 1869 41.0
4 89015855 5379 40.0 3510 40.0 1869 40.0
4 89015856 5379 39.0 3510 39.0 1869 39.0
4 89015857 5379 38.0 3510 39.0 1869 38.0
4 89015858 5379 38.0 3510 38.0 1869 38.0
4 89015859 5379 38.0 3510 38.0 1869 37.0
4 89015860 5379 37.0 3510 38.0 1869 37.0
4 89015861 5379 37.0 3510 37.0 1869 36.0
4 89015862 5379 36.0 3510 37.0 1869 36.0
4 89015863 3086 40.0 2053 41.0 1033 39.0
4 89015864 1617 39.0 1266 37.0 351 46.0
4 89015865 1617 38.0 1266 36.0 351 44.0
4 89015866 1617 37.0 1266 35.0 351 44.0
4 89015867 1617 36.0 1266 34.0 351 42.0
4 89015868 1617 34.0 1266 32.0 351 41.0
4 89015869 1617 33.0 1266 31.0 351 39.0
4 89015870 1617 33.0 1266 31.0 351 39.0
4 89015871 1617 32.0 1266 31.0 351 39.0
4 89015872 1617 32.0 1266 30.0 351 38.0
4 89016616 1617 71.0 1266 71.0 351 71.0
4 89016617 1617 71.0 1266 71.0 351 70.0
4 89016618 1617 71.0 1266 71.0 351 70.0
4 89016619 1617 71.0 1266 71.0 351 70.0
4 89016620 3910 68.0 2723 68.0 1187 68.0
4 89016621 5379 81.0 3510 78.0 1869 85.0
4 89016622 5379 81.0 3510 79.0 1869 85.0
4 89016623 5379 82.0 3510 80.0 1869 87.0
4 89016624 5379 84.0 3510 82.0 1869 89.0
4 89016625 5379 85.0 3510 83.0 1869 90.0
4 89016626 5379 86.0 3510 83.0 1869 91.0
4 89016627 5379 87.0 3510 84.0 1869 92.0
4 89016628 5379 88.0 3510 86.0 1869 94.0
4 89016629 5379 89.0 3510 86.0 1869 95.0
4 89016630 5379 90.0 3510 87.0 1869 96.0
4 89016631 5379 92.0 3510 89.0 1869 98.0
4 89016632 5379 93.0 3510 90.0 1869 99.0
4 89016633 5379 94.0 3510 91.0 1869 101.0
4 89016634 5379 96.0 3510 93.0 1869 103.0
4 89016635 5379 98.0 3510 94.0 1869 105.0
4 89016636 5379 101.0 3510 97.0 1869 108.0
4 89016637 5379 103.0 3510 99.0 1869 110.0
4 89016638 5379 104.0 3510 100.0 1869 112.0
4 89016639 5379 106.0 3510 102.0 1869 114.0
4 89016640 5379 106.0 3510 102.0 1869 114.0
4 89016641 5379 107.0 3510 103.0 1869 115.0
4 89016642 5379 108.0 3510 104.0 1869 117.0
4 89016643 5379 111.0 3510 106.0 1869 120.0
4 89016644 5379 112.0 3510 107.0 1869 121.0
4 89016645 5379 112.0 3510 108.0 1869 121.0
4 89016646 5379 113.0 3510 108.0 1869 122.0
4 89016647 5379 115.0 3510 110.0 1869 124.0
4 89016648 5379 116.0 3510 111.0 1869 125.0
4 89016649 5379 118.0 3510 112.0 1869 128.0
4 89016650 5379 119.0 3510 114.0 1869 129.0
4 89016651 5379 120.0 3510 115.0 1869 130.0
4 89016652 5379 121.0 3510 115.0 1869 131.0
4 89016653 5379 123.0 3510 117.0 1869 134.0
4 89016654 5379 124.0 3510 118.0 1869 135.0
4 89016655 5379 126.0 3510 120.0 1869 137.0
4 89016656 5379 126.0 3510 120.0 1869 138.0
4 89016657 5379 128.0 3510 122.0 1869 139.0
4 89016658 5379 129.0 3510 123.0 1869 140.0
4 89016659 5379 132.0 3510 126.0 1869 144.0
4 89016660 5379 133.0 3510 127.0 1869 145.0
4 89016661 5379 134.0 3510 127.0 1869 146.0
4 89016662 5379 137.0 3510 131.0 1869 150.0
4 89016663 5379 138.0 3510 132.0 1869 150.0
4 89016664 5379 139.0 3510 133.0 1869 152.0
4 89016665 5379 141.0 3510 135.0 1869 154.0
4 89016666 5379 143.0 3510 136.0 1869 155.0
4 89016667 5379 143.0 3510 136.0 1869 155.0
4 89016668 5379 145.0 3510 138.0 1869 158.0
4 89016669 5379 146.0 3510 139.0 1869 160.0
